ID,가격(백만원)
TEST_000,130.64732
TEST_001,80.01045
TEST_002,65.13395
TEST_003,34.95324
TEST_004,47.91705
TEST_005,101.351555
TEST_006,21.950869
TEST_007,39.93264
TEST_008,81.4039
TEST_009,24.448048
TEST_010,63.929157
TEST_011,62.625156
TEST_012,40.225056
TEST_013,100.33551
TEST_014,90.57066
TEST_015,22.968075
TEST_016,125.91385
TEST_017,52.486565
TEST_018,59.956707
TEST_019,34.8462
TEST_020,38.017746
TEST_021,160.36502
TEST_022,46.885685
TEST_023,55.82531
TEST_024,23.105633
TEST_025,48.004612
TEST_026,78.708954
TEST_027,79.88191
TEST_028,28.00079
TEST_029,126.040375
TEST_030,63.8459
TEST_031,40.915726
TEST_032,114.787865
TEST_033,88.39974
TEST_034,35.65525
TEST_035,80.05102
TEST_036,21.793856
TEST_037,39.86635
TEST_038,24.567379
TEST_039,121.10003
TEST_040,127.52057
TEST_041,19.22317
TEST_042,119.51807
TEST_043,60.62801
TEST_044,23.118084
TEST_045,100.278145
TEST_046,21.520082
TEST_047,74.07376
TEST_048,62.62116
TEST_049,77.993195
TEST_050,35.63941
TEST_051,16.738825
TEST_052,38.815853
TEST_053,126.57177
TEST_054,23.644518
TEST_055,27.927116
TEST_056,155.92639
TEST_057,41.109802
TEST_058,159.65515
TEST_059,40.22969
TEST_060,55.865776
TEST_061,125.019775
TEST_062,40.86133
TEST_063,120.872
TEST_064,40.06573
TEST_065,34.171852
TEST_066,72.15944
TEST_067,50.628876
TEST_068,99.99788
TEST_069,22.870079
TEST_070,48.066116
TEST_071,27.91981
TEST_072,64.08211
TEST_073,38.793953
TEST_074,124.08948
TEST_075,23.317604
TEST_076,40.963654
TEST_077,121.16486
TEST_078,160.5391
TEST_079,80.09206
TEST_080,27.341133
TEST_081,40.950207
TEST_082,17.638296
TEST_083,34.171852
TEST_084,34.164787
TEST_085,40.12665
TEST_086,57.358086
TEST_087,88.4471
TEST_088,65.01136
TEST_089,53.58641
TEST_090,40.868298
TEST_091,69.71026
TEST_092,19.278828
TEST_093,79.93064
TEST_094,21.853148
TEST_095,24.836405
TEST_096,65.44851
TEST_097,126.36337
TEST_098,65.5784
TEST_099,96.851364
